"athlete","sport","substance_reason","sanction_terms","sanction_announced","sanction_date","support_personnel","paralympic","multiple_sports","sanction_type","substance_cat","substance_group"
"lehr, daniel","weightlifting","androstenedione","4-year suspension with 3-month reduction - loss of results","05/02/2016",2016-05-02,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"lehr, daniel","weightlifting","ostarine","4-year suspension with 3-month reduction - loss of results","05/02/2016",2016-05-02,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"buckley, michael","cycling","androgenic anabolic steroid","4-year suspension - loss of results","03/25/2016",2016-03-25,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"buckley, michael","cycling","anastrozole","4-year suspension - loss of results","03/25/2016",2016-03-25,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"buckley, michael","cycling","lgd-4033","4-year suspension - loss of results","03/25/2016",2016-03-25,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"buckley, michael","cycling","ostarine","4-year suspension - loss of results","03/25/2016",2016-03-25,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"lo, wayne","paralympic table tennis","hydrochlorothiazide","public warning - loss of results","03/09/2016",2016-03-09,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"lo, wayne","paralympic table tennis","chlorothiazide","public warning - loss of results","03/09/2016",2016-03-09,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"hickman, todd","cycling","stanozolol","4-year suspension - loss of results","12/04/2015",2015-12-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"hickman, todd","cycling","methylphenidate","4-year suspension - loss of results","12/04/2015",2015-12-04,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"arello jr., robert","track & field","hydrochlorothiazide","public warning - loss of results","10/27/2015",2015-10-27,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"arello jr., robert","track & field","chlorothiazide","public warning - loss of results","10/27/2015",2015-10-27,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"rybka, jason","weightlifting","methasterone","4-year suspension with 8 month reduction - loss of results","08/18/2015",2015-08-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"rybka, jason","weightlifting","ostarine","4-year suspension with 8 month reduction - loss of results","08/18/2015",2015-08-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"rybka, jason","weightlifting","androstatrienedione","4-year suspension with 8 month reduction - loss of results","08/18/2015",2015-08-18,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"mcgillivray, deanna","team handball","trenbolone","2-year suspension - loss of results","04/02/2015",2015-04-02,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"mcgillivray, deanna","team handball","epitrenbolone","2-year suspension - loss of results","04/02/2015",2015-04-02,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"mutinda, joseph","track & field","19-norandrosterone","3-year suspension - loss of results","03/25/2015",2015-03-25,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"mutinda, joseph","track & field","epo","3-year suspension - loss of results","03/25/2015",2015-03-25,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"mutinda, joseph","track & field","furosemide","3-year suspension - loss of results","03/25/2015",2015-03-25,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"odesnik, wayne","tennis","methenolone","15-year suspension - loss of results","03/18/2015",2015-03-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"odesnik, wayne","tennis","androst-(2,3)-en-17-one","15-year suspension - loss of results","03/18/2015",2015-03-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"odesnik, wayne","tennis","ghrp-6","15-year suspension - loss of results","03/18/2015",2015-03-18,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"carlin, nikki","weightlifting","clenbuterol","2-year suspension - loss of results; sanction tolled due to a whereabouts compliance failure","11/14/2014",2014-11-14,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"carlin, nikki","weightlifting","oxandrolone (metabolite)","2-year suspension - loss of results; sanction tolled due to a whereabouts compliance failure","11/14/2014",2014-11-14,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"o'hara, damian","judo","methylclostebol","1-year suspension - loss of results","10/08/2014",2014-10-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"o'hara, damian","judo","promagnon","1-year suspension - loss of results","10/08/2014",2014-10-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"trojan, nicholas","rowing","methylphenidate (metabolite)","9-month suspension - loss of results","06/11/2014",2014-06-11,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"atkinson, annie","judo","hydrochlorothiazide","3-month suspension - loss of results","02/28/2014",2014-02-28,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"atkinson, annie","judo","chlorothiazide","3-month suspension - loss of results","02/28/2014",2014-02-28,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"atkinson, annie","judo","triamterene","3-month suspension - loss of results","02/28/2014",2014-02-28,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"atkinson, annie","judo","4-hydroxytriamterene","3-month suspension - loss of results","02/28/2014",2014-02-28,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"perry, brett","speedskating","methylphenidate (metabolite)","9-month suspension - loss of results","02/26/2014",2014-02-26,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"leduc, david","cycling","androgenic anabolic steroid","2-year suspension - loss of results","12/30/2013",2013-12-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"leduc, david","cycling","erythropoietin (epo)","2-year suspension - loss of results","12/30/2013",2013-12-30,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"leduc, david","cycling","amphetamine","2-year suspension - loss of results","12/30/2013",2013-12-30,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"meeker, richard","cycling","19-norandrosterone (19-na)","2-year suspension - loss of results","11/26/2013",2013-11-26,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"meeker, richard","cycling","19-noretiocholanolone","2-year suspension - loss of results","11/26/2013",2013-11-26,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"crouse, camdin","paralympic track & field","amphetamine","2-year suspension - loss of results; sanction extended due to a whereabouts compliance failure","09/23/2013",2013-09-23,FALSE,TRUE,FALSE,"analytic","multiple","S6 STIMULANTS"
"crouse, camdin","paralympic track & field","methylhexaneamine","2-year suspension - loss of results; sanction extended due to a whereabouts compliance failure","09/23/2013",2013-09-23,FALSE,TRUE,FALSE,"analytic","multiple","S6 STIMULANTS"
"anwar, abdallah","paralympic boccia","hydrochlorothiazide","public warning","06/20/2013",2013-06-20,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"anwar, abdallah","paralympic boccia","chlorothiazide","public warning","06/20/2013",2013-06-20,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"hersey, mike","paralympic sailing","hydrochlorothiazide","public warning","03/12/2013",2013-03-12,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"hersey, mike","paralympic sailing","chlorothiazide","public warning","03/12/2013",2013-03-12,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"wenzel, roger","track & field","androgenic anabolic steroid","2-year suspension - loss of results","03/08/2013",2013-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"wenzel, roger","track & field","modafinil","2-year suspension - loss of results","03/08/2013",2013-03-08,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"hall, joseph","shooting","19-norandrosterone (19-na)","1-year suspension - loss of results","12/21/2012",2012-12-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"hall, joseph","shooting","19-noretiocholanolone","1-year suspension - loss of results","12/21/2012",2012-12-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"andrus, steven","wrestling","cannabinoids","1-year suspension - loss of results","08/31/2012",2012-08-31,FALSE,FALSE,FALSE,"analytic","multiple","S8 CANNABINOIDS"
"andrus, steven","wrestling","amphetamine","1-year suspension - loss of results","08/31/2012",2012-08-31,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"brown, matthew","paralympic track & field","hydrochlorothiazide","1-year suspension - loss of results; second violation","08/03/2012",2012-08-03,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"brown, matthew","paralympic track & field","chlorothiazide","1-year suspension - loss of results; second violation","08/03/2012",2012-08-03,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"webster, joshua","cycling","methylhexaneamine","2-year suspension - loss of results","07/15/2011",2011-07-15,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"webster, joshua","cycling","phenpromethamine","2-year suspension - loss of results","07/15/2011",2011-07-15,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"quintero, lisban","cycling","19-norandrosterone (19-na)","2-year suspension - loss of results","07/01/2011",2011-07-01,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"quintero, lisban","cycling","19-noretiocholanolone","2-year suspension - loss of results","07/01/2011",2011-07-01,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"block, mark","track & field - athlete support personnel","non-anatlyical: administration","10 year suspension","03/17/2011",2011-03-17,TRUE,FALSE,FALSE,"non-analytic","multiple",NA
"block, mark","track & field - athlete support personnel","trafficking","10 year suspension","03/17/2011",2011-03-17,TRUE,FALSE,FALSE,"non-analytic","multiple",NA
"cosby-toruga, jessica","track & field","hydrochlorothiazide","4 month suspension - loss of results","05/10/2010",2010-05-10,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"cosby-toruga, jessica","track & field","chlorothiazide","4 month suspension - loss of results","05/10/2010",2010-05-10,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"clinger, david","cycling","androgenic anabolic steroid","2-year suspension - loss of results","03/19/2010",2010-03-19,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"clinger, david","cycling","modafinil","2-year suspension - loss of results","03/19/2010",2010-03-19,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"alfred, stephen","cycling","androgenic anabolic steroid","8-year suspension - loss of results","02/02/2007",2007-02-02,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"alfred, stephen","cycling","human chorionic gonadotrophin (hcg)","8-year suspension - loss of results","02/02/2007",2007-02-02,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"dickey, duane","cycling","phentermine","1-year suspension - loss of results","08/30/2002",2002-08-30,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"dickey, duane","cycling","boldenone","1-year suspension - loss of results","08/30/2002",2002-08-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dickey, duane","cycling","nandrolone","1-year suspension - loss of results","08/30/2002",2002-08-30,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"saccente, nicholas","weightlifting","androgenic anabolic steroid","4-year suspension - loss of results; additional 4 months of suspension - loss of results; sanction tolled due to retirement","original: 02/14/2017; updated: 12/11/2018",2018-12-11,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"saccente, nicholas","weightlifting","boldenone","4-year suspension - loss of results; additional 4 months of suspension - loss of results; sanction tolled due to retirement","original: 02/14/2017; updated: 12/11/2018",2018-12-11,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"hunter, adam","mixed martial arts","tamoxifen","2-year suspension - loss of results - additional loss of results","original: 10/28/2016; updated: 09/26/2018",2018-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"hunter, adam","mixed martial arts","boldenone","2-year suspension - loss of results - additional loss of results","original: 10/28/2016; updated: 09/26/2018",2018-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"hunter, adam","mixed martial arts","methandienone","2-year suspension - loss of results - additional loss of results","original: 10/28/2016; updated: 09/26/2018",2018-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"hunter, adam","mixed martial arts","drostanolone","2-year suspension - loss of results - additional loss of results","original: 10/28/2016; updated: 09/26/2018",2018-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"hunter, adam","mixed martial arts","clenbuterol","2-year suspension - loss of results - additional loss of results","original: 10/28/2016; updated: 09/26/2018",2018-09-26,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dotti, juan pablo","cycling","androgenic anabolic steroid","2-year suspension - loss of results;  2-year suspension restarted - loss of results","original: 10/20/2011; updated: 06/05/2013",2013-06-05,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dotti, juan pablo","cycling","amphetamine","2-year suspension - loss of results;  2-year suspension restarted - loss of results","original: 10/20/2011; updated: 06/05/2013",2013-06-05,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
